date,question,option_a,option_b,option_c,option_d,answer,explanation
2026-09-30,What does a curler mean when they shout that a delivered stone is 'heavy'?,The stone weighs over 44 pounds,The stone was thrown with too much speed,The stone has no handle,The stone is too cold,B,Calling a shot 'heavy' indicates that the player delivered the stone with greater velocity than required for the intended target.
2026-09-30,What is the narrow opening between two stationary stones on the sheet called?,The Port,The Gate,The Gap,The Window,A,A port is the open space or corridor between two stationary stones through which another stone must be navigated.
2026-09-30,What does it mean when a stone is described as 'buried'?,It is covered by ice shavings,It rests fully behind a guard relative to the shooter's line of delivery,It has broken through the ice,It has crossed the back line,B,"A buried stone sits completely sheltered behind a guard, denying the opposing team an unobstructed straight-line hit."
2026-09-30,What is the legendary post-game tradition where winning and losing teams sit together over refreshments?,Broomstacking,The Ceilidh,The Hack Chat,The Pebble Party,A,Broomstacking is the cherished tradition of curlers stacking their brooms by the ice and sharing social drinks together after every match.
2026-10-01,"Under the Spirit of Curling, what is a player expected to do if they accidentally touch a moving stone with their broom?",Keep quiet unless someone noticed,Immediately call their own infraction and declare the stone burned,Blame the pebble,Demand a re-throw,B,"The Spirit of Curling demands utmost honesty; players immediately admit their own fouls, allowing opponents to decide stone placement."
2026-10-01,What gesture is universally exchanged between all opposing players immediately prior to and following a game?,Saluting with brooms,Shaking hands and saying 'Good Curling',Tapping stones together,Clapping for the ice maker,B,"Before and after every curling game, opponents warmly shake hands and exchange the traditional greeting, 'Good Curling'."
2026-10-01,"In curling etiquette, what is the proper practice when an opposing player is in the hack preparing to deliver?",Stand directly behind their hack to observe line,Stand completely motionless and silent outside the hog lines to avoid distraction,Sweep the ice right in front of them,Talk quietly to the crowd,B,"Players must stand quietly away from the sheet, remaining out of the thrower's sightline so as not to distract delivery concentration."
2026-10-01,What is the customary protocol when a trailing team realizes they have no mathematical chance of victory?,Walk off the ice without saying anything,Concede the match gracefully by shaking hands with the opponent,Keep playing until all rocks are exhausted,Protest to the chief umpire,B,Curling etiquette encourages teams with no realistic path to victory to concede honorably by offering handshakes before all ends conclude.
2026-10-01,How many ends are played in standard World Curling Championship games (barring an extra end)?,6 ends,8 ends,10 ends,12 ends,C,"World Curling Championship and Olympic four-person games are scheduled for ten full ends, with extra ends if tied."
2026-10-02,How many ends are standardly played in Grand Slam of Curling and Mixed Doubles matches?,6 ends,8 ends,10 ends,12 ends,B,Grand Slam of Curling events and all Mixed Doubles matches utilize an eight-end game format to maintain faster pace of play.
2026-10-02,What timing method allocates each team a set amount of clock time that counts down ONLY when they are deciding their shot?,Running clock,Thinking time,Shot clock of 30 seconds,Sand timer,B,Modern curling uses thinking time: a team's clock runs from when the opponent's stone stops until their own delivered stone crosses the tee line.
2026-10-02,What pre-game precision skill challenge is used to determine last-stone hammer advantage in round-robin play?,Shootout round,Last Stone Draw (Draw Shot Challenge),Rapid-fire takeouts,Speed sliding test,B,"Before games, each player delivers an official Draw Shot Challenge toward the button; measured distances determine pre-game hammer."
2026-10-02,"What tournament format, historically famous at the Canadian Brier, pitted 1st vs 2nd and 3rd vs 4th in playoffs?",Single elimination,Page Playoff System,Round Robin only,Double Knockout,B,"The Page Playoff system rewards top round-robin finishers: 1 vs 2 winner goes to the final, while the loser plays the 3 vs 4 winner in the semi-final."
2026-10-02,What remarkable milestone did Canada's Brad Gushue achieve across the 2017 to 2024 Canadian Men's Championships?,Won 6 Brier titles as skip in an 8-year span,Threw 100 percent in 100 consecutive games,Swept all stones himself,Won without an alternate,A,"Brad Gushue demonstrated historic dominance by capturing six Brier tankards as skip over an eight-year period (2017, 2018, 2020, 2022, 2023, 2024)."
2026-10-03,"Who is the only curler in history to win Olympic gold, the World Championship, and the Brier as skip undefeated in all three tournaments?",Kevin Martin,Niklas Edin,Brad Jacobs,John Shuster,A,"Kevin Martin skipped teams to undefeated runs at the 2010 Olympics (11-0), 2008 Worlds (unbeaten playoffs), and multiple undefeated Briers."
2026-10-03,How many consecutive Women's World Curling gold medals did Switzerland's Team Tirinzoni win between 2019 and 2023?,Two,Three,Four,Five,C,"Team Tirinzoni won an unprecedented four consecutive Women's World Championships in 2019, 2021, 2022, and 2023 (the 2020 event was cancelled)."
2026-10-03,What legendary Canadian skip was named the greatest male curler of all time in a 2019 TSN expert panel vote?,Kevin Martin,Ernie Richardson,Randy Ferbey,Russ Howard,A,"In 2019, a national panel of sports journalists and curling champions voted Kevin Martin as the greatest Canadian male curler in history."
2026-10-03,What record did Sweden's Niklas Edin establish by winning the 2024 World Men's Curling Championship in Schaffhausen?,First skip to win seven World Men's Championships,First skip to score 8 points in one end,Oldest curler at the world championship,Only skip to throw third rocks,A,"Niklas Edin won his record-extending seventh World Men's Championship as skip in 2024, defeating Canada's Brad Gushue in the final."
2026-10-03,What precision measuring tool is used when two stones appear equidistant from the button to determine the point?,A plastic ruler,A mechanical measuring stick with a precision dial micrometer,A laser level,A standard tape measure,B,Officials place a certified measuring stick on the centre pin and swing a micrometer dial against stone edges to determine scoring points.
2026-10-04,What statistical metric measures an individual player's shot success percentage during a curling game?,Plus-minus,Shot success percentage (curling shooting percentage),Brier coefficient,True-throw rating,B,"Curling statisticians evaluate every shot on a 0-to-4 scale (0%, 25%, 50%, 75%, 100%), calculating an overall game shot percentage."
2026-10-04,"In competitive analytics, what does 'holding the hammer' yield on average in modern elite men's ten-end games?",An automatic three points every end,A win probability advantage of roughly 60 percent at the start of a match,No statistical advantage whatsoever,Guaranteed extra ends,B,Statistical analytics show that having hammer at the start of an elite match confers roughly a 60% probability of winning the game.
2026-10-04,What is the Maximum Cumulative DSC (Draw Shot Challenge) used for at major championships?,Determining team jersey colours,Breaking round-robin ties for playoff seeds when head-to-head is inconclusive,Selecting game officials,Deciding who gets practice ice,B,Cumulative Draw Shot Challenge distances are used by World Curling to break ties for playoff seeds without requiring tiebreaker games.
2026-10-04,What score is given to a shot evaluated as an 'absolute total miss' that accomplishes none of its intended goals?,1 point out of 4,0 points out of 4 (0%),2 points out of 4,Minus 1 point,B,Curling scoring evaluates shots from 0 to 4; an unforced error or complete miss receives 0 points (0% execution).
2026-10-04,What official signal does a curling umpire use when timing clocks expire on a team before stone delivery is completed?,A red laser light,Blowing an audible whistle and stopping play,Flashing a yellow card,Ringing a brass bell,B,"If a team's thinking time clock reaches 0:00 before the stone is delivered, the umpire blows a whistle and orders the stone removed."
2026-10-05,What happens if a player accidentally burns a stone between the hog lines with their broom while sweeping?,The stone is instantly removed from play by the delivering team,"The opposing skip can let it stand, remove it, or place stones where they would have rested",Both teams must throw extra rocks,The umpire delivers a replacement rock,B,"Under World Curling rules, if an in-motion stone is touched, the non-offending skip has options to place rocks where they reasonably would have stopped."
2026-10-05,Can an umpire use video replay to overturn a line call at the World Curling Championships?,Yes for official hog-line or stone contact reviews,No video review is strictly forbidden,Only if the crowd boos,Only after the game concludes,A,"At major championships, chief umpires have access to video review systems to verify close hog-line infractions and stone displacements."
2026-10-05,What tool do officials use to determine if a stone is a 'biter' touching the outer edge of the twelve-foot circle?,A visual guess from the stands,A certified biter bar swung from the tee pin around the 12-foot circumference,A magnetic sensor,A digital camera zoom,B,"A biter gauge or swing bar anchored to the house centre pin is swung around the perimeter; if it contacts the stone, the stone is in the house."
2026-10-05,Who is the only person permitted to request a formal measurement from the game official at the conclusion of an end?,Any spectator,Either team's skip or vice-skip,The ice technician,The television commentator,B,Only the team skips or acting vice-skips have the authority to request a formal measurement from the on-ice official.
2026-10-05,What famous shot did Canada's Al Hackner execute at the 1985 Brier final to force an extra end against Pat Ryan?,A 150-foot draw to the button,The 'Hackner Double' - an impossible thin double-takeout,A quadruple peel,A freeze between two stones,B,"Northern Ontario's Al Hackner made the legendary 'Hackner Double', slicing a razor-thin angle to remove two Alberta rocks and win the Brier."
2026-10-06,What dramatic finish occurred in the 2010 Olympic women's gold medal match in Vancouver?,Cheryl Bernard missed a final takeout allowing Sweden's Anette Norberg to steal gold in an extra end,Canada won with an eight-ender,The game was called due to melting ice,The United States conceded in the fifth end,A,"Canada's Cheryl Bernard held hammer in the tenth and eleventh ends but narrowly missed final shots, allowing Sweden's Norberg to capture gold."
2026-10-06,What miraculous shot did John Shuster make in the 8th end of the 2018 Olympic Men's Final to score five points?,A five-stone promotion,A pinpoint double takeout for five points against Sweden,A through shot to clear guards,A freeze to the back four-foot,B,"USA skip John Shuster executed a clinical double takeout in the 8th end against Sweden, scoring five points to secure Olympic gold."
2026-10-06,What is the maximum number of points a team can score in a single end of four-player curling?,Six,Eight,Ten,Twelve,B,"An 'eight-ender' (scoring all eight stones in a single end) is the maximum possible score in an end, considered curling's rarest feat."
2026-10-06,Which Canadian skip won the 2006 Olympic men's gold medal in Turin with a sensational six-point sixth end in the final?,Kevin Martin,Brad Gushue,Mark Dacey,Russ Howard,B,Brad Gushue exploded for six points in the sixth end against Finland's Markku Uusipaavalniemi to claim Canada's first Olympic men's gold in 2006.
2026-10-06,What is a weekend recreational curling tournament called among curling clubs worldwide?,A Bonspiel,A Derby,A Regatta,A Rounder,A,"A bonspiel is the traditional Scottish and worldwide term for a curling tournament, combining competitive games with social festivities."
2026-10-07,"In traditional mixed curling (four players), what is the mandatory requirement for the roster line-up?",Players must alternate genders throughout the throwing order (male-female-male-female),All players must be under 21,Only the skip can be male,There are no gender rules,A,World Curling mixed rules require teams to feature two men and two women who must throw in alternating gender order.
2026-10-07,What is the maximum age limit for athletes competing in the World Junior Curling Championships?,Under 18,Under 21 (athletes must not have reached 21 by June 30 preceding the event),Under 25,Under 30,B,World Junior Curling Championships are restricted to junior competitors who have not reached 21 years of age prior to July 1 of the competition year.
2026-10-07,What piece of equipment do curlers tap gently against the ice surface before stepping onto the sheet?,Their broom head,Their gripper to dislodge dirt and lint debris,Their helmet,Their measuring gauge,B,"Curlers tap their shoes and grippers to knock away lint, hair, or dirt before stepping on the ice, preserving clean pebble."
2026-10-07,What special award is presented at Canadian championships to curlers who best exemplify sportsmanship and curling spirit?,The Silver Broom,The Marj Mitchell and Ross Harstone Sportsmanship Awards,The Golden Pebble,The Hackner Trophy,B,"Curling Canada awards the Ross Harstone (men's) and Marj Mitchell (women's) sportsmanship honors, voted on by fellow competitor peers."
2026-10-07,What is the distance between the two hack lines at opposite ends of a standard regulation curling sheet?,100 feet (30.48 m),120 feet (36.58 m),138 to 140 feet (42.07 to 42.67 m),160 feet (48.77 m),C,The distance between the two hack lines on a standard competition curling sheet is precisely 138 to 140 feet (42.07 to 42.67 m).
2026-10-08,"What line on the curling sheet marks the exact centre of each house, crossing perpendicular to the centre line?",The Hog line,The Tee line,The Back line,The Hack line,B,"The tee line bisects each house horizontally, running directly through the centre button perpendicular to the sheet's centre line."
2026-10-08,"If a delivered stone fully crosses the back line behind the house without touching other rocks, what is its status?",It is live and counts as a back guard,It is immediately out of play and removed from the sheet,It is placed on the tee line,The opponent must sweep it forward,B,Any stone that completely crosses the back line is dead and must be immediately removed from play.
2026-10-08,What colour handles are traditionally used in international competition to distinguish the two competing teams?,Red and Yellow,Blue and Green,Black and White,Orange and Purple,A,Standard World Curling and Olympic competition sets feature one team throwing red handles and the other throwing yellow handles.
2026-10-08,"What is the beloved global motto of curling, enshrined in the preamble to the international rules?",Curling for Victory,The Spirit of Curling,First on the Sheet,Master the Granite,B,"The Spirit of Curling' is the guiding philosophical motto of the sport, honoring fair play, mutual respect, and supreme sportsmanship."
